hs6,base_exports,base_imports,v25_exports,v25_imports,import_change25,export_change25,us_tariff_2019,us_tariff_2020,trump1_hit
280480,3877.5,1172380.3333333333,0,1301965,0.11053125251447135,NA,25,25,TRUE
280511,258574.66666666666,12197412.333333334,91914,4575528,-0.624877156321435,NA,25,25,TRUE
280512,4968435.666666667,19032906,2108815,16337402,-0.1416233548360928,-0.5755575514144057,25,25,TRUE
280519,7189761.666666667,18550328,2568692,9752288,-0.47427948443822665,-0.6427291864333936,25,25,TRUE
280530,520709.6666666666,14076608.666666666,190028,6752296,-0.5203179856814943,NA,0,0,FALSE
280610,396150.6666666667,1492750,249452,614194,-0.588548651817116,NA,25,25,TRUE
280800,754492.3333333334,1021140,518476,223231,-0.7813904068002429,NA,25,25,TRUE
280910,7832,6708321.333333333,0,2186837,-0.6740112926413185,NA,25,25,TRUE
280920,249977.6666666667,15786630.666666666,190286,5788456,-0.6333317651991267,NA,25,25,TRUE
281111,233987.66666666666,1580197.6666666667,209543,2152701,0.36229855631985275,NA,25,25,TRUE
281119,4272922,53007736.333333336,4102995,18118991,-0.6581821399415981,-0.039768336515386894,21.666666507720947,19.166666507720947,TRUE
281121,47321.666666666664,2336963,532996,1771065,-0.24215103106039762,NA,25,25,TRUE
281122,14761218.333333334,203660504.33333334,9455721,155617842,-0.2358958232505474,-0.359421371158275,25,25,TRUE
281129,3522324,21425993.666666668,3992905,16366764,-0.23612578932745262,0.13359957800588476,25,25,TRUE
281213,0,1616640,39000,238160,-0.8526821060965954,NA,25,25,TRUE
