hs6,chn_reta_2019,n_hs8
390421,5.0,1
390422,10.0,1
390430,20.0,1
390440,25.0,1
390450,20.0,1
390461,5.0,1
390469,5.0,1
390490,5.0,1
390512,5.0,1
390519,25.0,1
390521,25.0,1
390529,25.0,1
390530,20.0,1
390591,5.0,1
390599,5.0,1
390610,25.0,1
390690,25.0,1
390710,20.0,2
390720,25.0,1
390750,25.0,1
390761,22.5,2
390769,15.0,2
390770,5.0,1
390791,20.0,1
390799,12.5,2
390810,18.333333333333332,3
390910,25.0,1
390920,10.0,1
390931,25.0,1
390939,25.0,1
390940,20.0,1
390950,20.0,1
391110,10.0,1
391212,5.0,1
391220,25.0,1
391231,10.0,1
391239,5.0,1
391290,5.0,1
391310,25.0,1
391390,5.0,1
391400,10.0,1
391510,25.0,1
391520,25.0,1
391530,25.0,1
391590,25.0,2
391610,25.0,1
391620,25.0,2
391690,17.5,2
391710,25.0,1
391721,20.0,1
391722,25.0,1
391723,20.0,1
391729,10.0,1
391731,10.0,1
391732,10.0,1
391733,5.0,1
391739,10.0,1
391740,10.0,1
391810,15.0,2
391890,7.5,2
391910,15.0,3
391990,25.0,1
392010,25.0,1
392020,12.5,2
392030,25.0,1
392043,20.0,1
392049,10.0,1
392051,20.0,1
392059,20.0,1
392061,20.0,1
392063,25.0,1
392069,10.0,1
392071,10.0,1
392073,25.0,1
392079,25.0,1
392091,20.0,1
392092,20.0,1
392093,5.0,1
392094,20.0,1
392099,5.0,1
392111,5.0,1
392112,25.0,2
392113,17.5,2
392114,5.0,1
392119,10.0,2
392190,20.0,2
392210,25.0,1
392220,20.0,1
392290,20.0,1
392310,20.0,1
392321,10.0,1
392329,10.0,1
392330,10.0,1
392340,25.0,1
392350,10.0,1
392390,20.0,1
392410,20.0,1
392490,25.0,1
392510,25.0,1
392520,5.0,1
392530,20.0,1
392590,5.0,1
392610,25.0,1
392620,13.333333333333334,3
392630,20.0,1
392640,20.0,1
392690,10.0,1
400129,25.0,1
400211,17.5,2
400219,18.75,8
400220,22.5,2
400231,15.0,2
400239,15.0,2
400241,10.0,1
400249,25.0,2
400251,25.0,1
400259,20.0,2
400260,17.5,2
400270,5.0,2
400280,25.0,1
400291,20.0,1
400299,13.333333333333334,3
400300,20.0,1
400510,20.0,1
400520,25.0,1
400591,10.0,1
400599,20.0,1
400610,25.0,1
