sector,year,exports,imports,base_imports,base_exports,base_total,total_trade,trade_change,trade_asymmetry
13,2020,34300996,299146574,245240055,44808223.666666664,290048278.6666667,333447570,0.14962781897150731,0.11466284083199964
13,2021,43047579,328096667,245240055,44808223.666666664,290048278.6666667,371144246,0.27959472025183624,0.13120395093803253
14,2015,6429949,30323222,30322261,5235253.666666667,35557514.666666664,36753171,0.03362598158341482,0.21204702455431682
14,2016,3843470,29633752,30322261,5235253.666666667,35557514.666666664,33477222,-0.05850500762407985,0.12969906746874307
14,2017,5432342,31009809,30322261,5235253.666666667,35557514.666666664,36442151,0.02487902604066523,0.17518140792160314
14,2018,5609612,29153708,30322261,5235253.666666667,35557514.666666664,34763320,-0.022335494314263217,0.19241504373989066
14,2019,1871912,25931247,30322261,5235253.666666667,35557514.666666664,27803159,-0.2180792369590435,0.07218750413352663
14,2020,5332434,25975174,30322261,5235253.666666667,35557514.666666664,31307608,-0.11952203933563255,0.2052896354034048
14,2021,9485826,28934527,30322261,5235253.666666667,35557514.666666664,38420353,0.08051289186465833,0.3278376038426341
15,2015,57785560,58639528,55496074,89416321.66666667,144912395.66666666,116425088,-0.19658295990216262,0.9854369905569499
15,2016,145505485,52447482,55496074,89416321.66666667,144912395.66666666,197952967,0.3660181800826715,2.7743083071175847
15,2017,64957920,55401212,55496074,89416321.66666667,144912395.66666666,120359132,-0.1694352201805087,1.1724999806863432
15,2018,54750184,62766719,55496074,89416321.66666667,144912395.66666666,117516903,-0.18904864929348678,0.8722804835473398
15,2019,39578890,57222006,55496074,89416321.66666667,144912395.66666666,96800896,-0.332004032128036,0.6916725359121454
15,2020,71400063,53226730,55496074,89416321.66666667,144912395.66666666,124626793,-0.1399852826484797,1.3414324532053725
15,2021,47525224,63117608,55496074,89416321.66666667,144912395.66666666,110642832,-0.23648469483242063,0.752963008357351
16,2015,77401110,702972616,712299528.6666666,57616107,769915635.6666666,780373726,0.01358342375301647,0.11010544114850698
16,2016,54970859,674395096,712299528.6666666,57616107,769915635.6666666,729365955,-0.052667693430533895,0.08151135636371828
16,2017,40476352,759530874,712299528.6666666,57616107,769915635.6666666,800007226,0.03908426967751758,0.053291253042598505
16,2018,54680227,901692854,712299528.6666666,57616107,769915635.6666666,956373081,0.24217906053028873,0.06064174375723732
16,2019,12107046,430870372,712299528.6666666,57616107,769915635.6666666,442977418,-0.42464161334192446,0.02809904506499695
16,2020,23015651,280401208,712299528.6666666,57616107,769915635.6666666,303416859,-0.6059089529500559,0.08208114067753945
16,2021,31609855,379519454,712299528.6666666,57616107,769915635.6666666,411129309,-0.46600732605721806,0.08328915597565124
17,2015,74413760,173507871,170859714.66666666,72248718.33333333,243108433,247921631,0.019798564536015088,0.4288782956710938
17,2016,63246049,168657062,170859714.66666666,72248718.33333333,243108433,231903111,-0.04609186880818733,0.37499792922990677
17,2017,79086346,170414211,170859714.66666666,72248718.33333333,243108433,249500557,0.026293304272172247,0.4640830452807718
17,2018,95646828,182907475,170859714.66666666,72248718.33333333,243108433,278554303,0.14580271676548545,0.52292465357143
17,2019,76805752,132568522,170859714.66666666,72248718.33333333,243108433,209374274,-0.1387617804274194,0.5793664351179837
17,2020,83621286,106184813,170859714.66666666,72248718.33333333,243108433,189806099,-0.2192533321129177,0.7875070232501139
17,2021,119164977,131060226,170859714.66666666,72248718.33333333,243108433,250225203,0.029274056486555528,0.9092382993449134
18,2015,35329699,22598540,27993141,31403725,59396866,57928239,-0.0247256648187465,1.5633620136522093
18,2016,31284793,26042601,27993141,31403725,59396866,57327394,-0.034841434226512896,1.2012929507309964
18,2017,27596683,35338282,27993141,31403725,59396866,62934965,0.05956709904525939,0.7809288238743468
18,2018,34378226,36477502,27993141,31403725,59396866,70855728,0.19292031333774412,0.942450116238771
18,2019,34914804,35395063,27993141,31403725,59396866,70309867,0.18373024933672427,0.9864314692701635
18,2020,24303681,7348189,27993141,31403725,59396866,31651870,-0.4671121200233022,3.307438200078958
18,2021,33130799,19370975,27993141,31403725,59396866,52501774,-0.11608511465907982,1.710332030266933
19,2015,87551426,202883112,213150169.33333334,83273374.33333333,296423543.6666667,290434538,-0.020204217224396404,0.43153629268068405
19,2016,72938173,213023775,213150169.33333334,83273374.33333333,296423543.6666667,285961948,-0.03529272856420247,0.34239451910942803
19,2017,89330524,223543621,213150169.33333334,83273374.33333333,296423543.6666667,312874145,0.05549694578859868,0.39961115240233136
19,2018,90904982,250050013,213150169.33333334,83273374.33333333,296423543.6666667,340954995,0.15022913086623674,0.3635471996556145
19,2019,99775676,215848097,213150169.33333334,83273374.33333333,296423543.6666667,315623773,0.06477295661414903,0.46224950503038253
19,2020,78856850,231582343,213150169.33333334,83273374.33333333,296423543.6666667,310439193,0.04728251055892561,0.34051322297918024
19,2021,41313025,249189894,213150169.33333334,83273374.33333333,296423543.6666667,290502919,-0.01997353042012253,0.16578932771647634
20,2015,228417171,1161187238,1187343776.6666667,242142501,1429486277.6666667,1389604409,-0.027899441421547214,0.19671002533012683
20,2016,266336071,1155978560,1187343776.6666667,242142501,1429486277.6666667,1422314631,-0.005016939846651021,0.230398798226846
20,2017,231674261,1244865532,1187343776.6666667,242142501,1429486277.6666667,1476539793,0.03291638126819807,0.1861038441861205
20,2018,293211648,1369857702,1187343776.6666667,242142501,1429486277.6666667,1663069350,0.1634035079473502,0.21404533300934056
20,2019,186149319,736183312,1187343776.6666667,242142501,1429486277.6666667,922332631,-0.3547803533269921,0.25285729242392824
20,2020,162856961,941387870,1187343776.6666667,242142501,1429486277.6666667,1104244831,-0.2275233080219241,0.17299666395743976
20,2021,227867042,889581027,1187343776.6666667,242142501,1429486277.6666667,1117448069,-0.21828695632951647,0.256150968921238
21,2015,162093375,257021294,305983336.6666667,169351805.66666666,475335142.3333333,419114669,-0.11827544047628645,0.6306612673111824
21,2016,147440656,297986336,305983336.6666667,169351805.66666666,475335142.3333333,445426992,-0.06292013291194855,0.49478998929669044
21,2017,198521386,362942380,305983336.6666667,169351805.66666666,475335142.3333333,561463766,0.18119557338823514,0.546977693814649
21,2018,266622453,451632711,305983336.6666667,169351805.66666666,475335142.3333333,718255164,0.5110499940614883,0.5903523958874627
21,2019,303950805,460048131,305983336.6666667,169351805.66666666,475335142.3333333,763998936,0.6072847722759754,0.6606934894818647
21,2020,318662346,580002535,305983336.6666667,169351805.66666666,475335142.3333333,898664881,0.8905921337703296,0.5494154366066694
21,2021,393672541,635324111,305983336.6666667,169351805.66666666,475335142.3333333,1028996652,1.1647813518454444,0.6196404861455038
22,2015,240472662,54914959,67425494.33333333,289161001.3333333,356586495.6666667,295387621,-0.17162420733923348,4.379001029573745
22,2016,433308160,70017252,67425494.33333333,289161001.3333333,356586495.6666667,503325412,0.4115100210370931,6.188591348886415
22,2017,193702182,77344272,67425494.33333333,289161001.3333333,356586495.6666667,271046454,-0.23988581369785977,2.5044153495943435
22,2018,181525739,100248979,67425494.33333333,289161001.3333333,356586495.6666667,281774718,-0.20979980615025856,1.8107490052342579
22,2019,92925150,76582932,67425494.33333333,289161001.3333333,356586495.6666667,169508082,-0.5246368439076998,1.2133924305744783
