hs06,us_tariff_2019,us_tariff_2020
280620,25.0,25.0
280700,25.0,25.0
280800,25.0,25.0
280910,25.0,25.0
280920,25.0,25.0
281000,25.0,25.0
281111,25.0,25.0
281119,21.666666,19.166666
281121,25.0,25.0
281122,25.0,25.0
281129,25.0,25.0
281211,25.0,25.0
281212,25.0,25.0
281213,25.0,25.0
281214,25.0,25.0
281215,25.0,25.0
281217,25.0,25.0
281219,25.0,25.0
281290,25.0,25.0
281310,25.0,25.0
281390,25.0,25.0
281410,25.0,25.0
281420,25.0,25.0
281511,25.0,25.0
281512,25.0,25.0
281520,25.0,25.0
281530,25.0,25.0
281610,25.0,25.0
281640,12.5,12.5
281700,25.0,25.0
281810,15.0,7.5
281820,0.0,0.0
281830,25.0,25.0
281910,25.0,25.0
281990,25.0,25.0
282010,25.0,25.0
282090,25.0,25.0
282110,25.0,25.0
282120,25.0,25.0
282200,25.0,25.0
282300,25.0,25.0
282410,25.0,25.0
282490,25.0,25.0
282510,25.0,25.0
282520,25.0,25.0
282530,25.0,25.0
282540,25.0,25.0
282550,25.0,25.0
282560,25.0,25.0
282570,0.0,0.0
282580,0.0,0.0
282590,16.666666,16.666666
282612,25.0,25.0
282619,25.0,25.0
282630,25.0,25.0
282690,12.5,12.5
282710,25.0,25.0
282720,25.0,25.0
282731,25.0,25.0
282732,25.0,25.0
282735,25.0,25.0
282739,18.333332,17.499998
282741,25.0,25.0
282749,12.5,12.5
282751,25.0,25.0
282759,25.0,25.0
282760,25.0,25.0
282810,25.0,25.0
282890,25.0,25.0
282911,25.0,25.0
282919,25.0,25.0
282990,18.75,18.75
283010,25.0,25.0
283090,25.0,25.0
283110,25.0,25.0
283190,25.0,25.0
283210,25.0,25.0
283220,25.0,25.0
283230,25.0,25.0
283311,25.0,25.0
283319,25.0,25.0
283321,25.0,25.0
283322,25.0,25.0
283324,25.0,25.0
283325,25.0,25.0
283327,25.0,25.0
283329,25.0,25.0
283330,25.0,25.0
283340,25.0,25.0
283410,25.0,25.0
283421,25.0,25.0
283429,25.0,25.0
283510,25.0,25.0
283522,25.0,25.0
283524,25.0,25.0
283525,25.0,25.0
283526,25.0,25.0
283529,25.0,25.0
283531,25.0,25.0
283539,25.0,25.0
283620,25.0,25.0
283630,25.0,25.0
283640,25.0,25.0
283650,25.0,25.0
283660,25.0,25.0
283691,25.0,25.0
283692,25.0,25.0
283699,25.0,25.0
283711,25.0,25.0
283719,15.0,7.5
283720,25.0,25.0
283911,25.0,25.0
283919,25.0,25.0
283990,25.0,25.0
284011,25.0,25.0
284019,25.0,25.0
284020,25.0,25.0
284030,25.0,25.0
284130,25.0,25.0
284150,25.0,25.0
284161,25.0,25.0
284169,25.0,25.0
284170,0.0,0.0
284180,0.0,0.0
284190,25.0,25.0
284210,25.0,25.0
284290,25.0,25.0
284310,25.0,25.0
284321,25.0,25.0
284329,25.0,25.0
284330,25.0,25.0
284390,25.0,25.0
284410,25.0,25.0
284420,3.75,1.875
284430,0.0,0.0
284440,0.0,0.0
284450,15.0,7.5
284510,25.0,25.0
284590,25.0,25.0
284610,0.0,0.0
284690,0.0,0.0
284700,25.0,25.0
284910,25.0,25.0
284920,0.0,0.0
284990,18.75,18.75
285000,25.0,25.0
285210,25.0,25.0
285290,25.0,25.0
285310,25.0,25.0
285390,25.0,25.0
290110,25.0,25.0
290121,25.0,25.0
290122,25.0,25.0
290123,25.0,25.0
290124,25.0,25.0
290129,25.0,25.0
